technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time
akaze_cropped;Pixel 3;Pixel 3;170;52;166;49;27;1480
akaze_cropped;Pixel 3;Pixel 3A;170;52;165;49;26;1380
sift_cropped;Nexus5;Nexus5;170;52;168;52;29;1860
sift_cropped;Nexus5;Nexus5x;170;52;168;49;29;1540
sift_cropped;Nexus5;Pixel 2xl;170;52;167;47;28;2510
sift_cropped;Nexus5;Pixel;170;52;167;48;28;1320
sift_cropped;Nexus5;Pixel XL;170;52;167;47;28;1720
sift_cropped;Nexus5;Pixel 3XL;170;52;167;46;28;2610
sift_cropped;Nexus5;Nexus 4;170;52;140;46;5;2440
sift_cropped;Nexus5;Nexus S;167;50;155;52;20;1330
sift_cropped;Nexus5;Pixel 3a XL;170;52;162;49;24;1400
sift_cropped;Nexus5;Nexus 6 ;170;52;166;48;27;2050
sift_cropped;Nexus5;Nexus 6p;170;52;158;47;25;2120
sift_cropped;Nexus5;Pixel 2;170;52;160;48;26;1420
sift_cropped;Nexus5;Pixel 3;170;52;167;50;28;1420
sift_cropped;Nexus5;Pixel 3A;170;52;164;47;26;1460
sift_cropped;Nexus S;Nexus5;167;50;164;48;26;720
sift_cropped;Nexus S;Nexus5x;167;50;162;49;25;710
sift_cropped;Nexus S;Pixel 2xl;167;50;161;47;23;2190
sift_cropped;Nexus S;Pixel;167;50;159;48;23;700
sift_cropped;Nexus S;Pixel XL;167;50;162;47;25;1190
sift_cropped;Nexus S;Pixel 3XL;167;50;133;46;2;1380
sift_cropped;Nexus S;Nexus 4;167;50;160;46;24;440
sift_cropped;Nexus S;Nexus S;167;50;167;50;30;280
sift_cropped;Nexus S;Pixel 3a XL;167;50;146;49;13;840
sift_cropped;Nexus S;Nexus 6 ;167;50;159;48;22;1280
sift_cropped;Nexus S;Nexus 6p;167;50;153;47;21;1260
sift_cropped;Nexus S;Pixel 2;167;50;152;48;21;770
sift_cropped;Nexus S;Pixel 3;167;50;148;50;14;820
sift_cropped;Nexus S;Pixel 3A;167;50;146;47;13;1010
sift_cropped;Pixel 3;Nexus5;170;52;156;50;18;1340
sift_cropped;Pixel 3;Nexus5x;170;52;163;51;24;1330
sift_cropped;Pixel 3;Pixel 2xl;170;52;166;50;27;1990
sift_cropped;Pixel 3;Pixel;170;52;159;52;20;1550
sift_cropped;Pixel 3;Pixel XL;170;52;161;51;24;2050
sift_cropped;Pixel 3;Pixel 3XL;170;52;151;51;16;2180
sift_cropped;Pixel 3;Nexus 4;170;52;129;48;1;1080
sift_cropped;Pixel 3;Nexus S;167;50;139;45;9;910
