technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time;app
eyeautomate;Nexus S;Pixel 3A;167;50;66;20;0;965.4;passandroid
sikuli;Nexus5;Nexus 4;170;52;89;20;2;338.7;passandroid
sikuli;Nexus5;Pixel 3A;170;52;90;20;3;356.6;passandroid
sikuli;Pixel 3;Nexus5;170;52;96;20;2;353.2;passandroid
eyeautomate;Nexus S;Nexus 6;167;50;72;21;0;1249.2;passandroid
eyeautomate;Nexus S;Nexus5x;234;77;53;22;1;201;antennapod
eyeautomate;Nexus S;Pixel 2xl;234;77;42;22;0;198;antennapod
sikuli;Nexus5;Nexus 4;234;77;96;22;0;267;antennapod
akaze_cropped;Nexus5;Nexus S;234;77;66;22;0;400;antennapod
akaze_cropped;Nexus S;Nexus5x;234;77;92;22;0;879;antennapod
akaze_cropped;Nexus S;Pixel 2xl;234;77;101;22;1;1680;antennapod
eyeautomate;Nexus S;Pixel 2xl;167;50;65;22;0;756.6;passandroid
sikuli;Pixel 3;Nexus 6;170;52;93;22;3;357.7;passandroid
eyeautomate;Nexus S;Pixel 3a XL;234;77;43;23;1;357;antennapod
sikuli;Pixel 3;Nexus5x;234;77;103;23;0;352;antennapod
sikuli;Pixel 3;Pixel;234;77;102;23;1;547;antennapod
akaze_cropped;Nexus S;Pixel 3XL;234;77;95;23;1;1633;antennapod
akaze_cropped;Nexus S;Nexus 6;234;77;109;23;1;1352;antennapod
akaze_cropped;Nexus S;Nexus 6p;234;77;113;23;1;1520;antennapod
sikuli;Pixel 3;Nexus 6p;170;52;94;23;3;356.6;passandroid
sikuli;Pixel 3;Pixel 2;170;52;100;23;3;469.4;passandroid
eyeautomate;Nexus S;Pixel 3A;234;77;82;24;0;230;antennapod
akaze_cropped;Nexus S;Nexus5;234;77;104;24;2;893;antennapod
akaze_cropped;Nexus S;Pixel;234;77;92;24;0;846;antennapod
akaze_cropped;Nexus S;Nexus 4;234;77;117;24;1;434;antennapod
akaze_cropped;Nexus S;Pixel 3A;234;77;119;24;2;975;antennapod
eyeautomate;Nexus5;Nexus 6;170;52;108;24;1;656.7;passandroid
sikuli;Pixel 3;Pixel 2xl;170;52;99;24;3;344.1;passandroid
sikuli;Pixel 3;Pixel 3XL;170;52;99;24;3;324.4;passandroid
sikuli;Pixel 3;Nexus 6;234;77;107;25;0;489;antennapod
akaze_cropped;Nexus S;Pixel XL;234;77;100;25;1;1424;antennapod
akaze_cropped;Nexus S;Pixel 3a XL;234;77;122;25;1;970;antennapod
eyeautomate;Nexus5;Pixel 3a XL;170;52;79;25;1;845.6;passandroid
eyeautomate;Nexus5;Pixel 3a XL;234;77;102;26;0;399;antennapod
akaze_cropped;Nexus S;Pixel 2;234;77;96;26;1;870;antennapod
akaze_cropped;Nexus S;Pixel 3;234;77;122;26;2;960;antennapod
akaze_cropped;Nexus5;Nexus S;167;50;130;26;4;1240;passandroid
akaze_cropped;Nexus S;Pixel 3XL;167;50;103;26;1;1120;passandroid
akaze_cropped;Nexus S;Nexus 6;167;50;103;26;1;1050;passandroid
sikuli;Pixel 3;Pixel XL;234;77;109;27;0;344;antennapod
sikuli;Pixel 3;Nexus 6p;234;77;108;27;0;533;antennapod
eyeautomate;Nexus5;Pixel 2xl;170;52;116;27;3;446.9;passandroid
eyeautomate;Nexus S;Nexus5;167;50;96;27;1;546.8;passandroid
sikuli;Pixel 3;Pixel XL;170;52;104;27;3;375.4;passandroid
sikuli;Pixel 3;Pixel 2xl;234;77;111;28;0;280;antennapod
sikuli;Pixel 3;Pixel 3XL;234;77;114;28;0;503;antennapod
sikuli;Pixel 3;Pixel 2;234;77;110;28;0;574;antennapod
eyeautomate;Pixel 3;Nexus S;167;50;84;28;0;727.7;passandroid
sikuli;Pixel 3;Nexus5x;170;52;101;28;3;328.8;passandroid
sikuli;Pixel 3;Pixel;170;52;106;28;3;330.4;passandroid
akaze_cropped;Nexus S;Pixel 2xl;167;50;108;28;1;1760;passandroid
akaze_cropped;Nexus S;Pixel XL;167;50;106;28;1;1000;passandroid
akaze_cropped;Nexus S;Nexus 6p;167;50;105;28;1;1020;passandroid
eyeautomate;Nexus S;Pixel 2;234;77;60;29;0;550;antennapod
eyeautomate;Nexus5;Pixel;170;52;127;29;6;456.3;passandroid
eyeautomate;Nexus5;Pixel XL;170;52;118;29;8;379.6;passandroid
akaze_cropped;Pixel 3;Nexus S;167;50;136;29;4;850;passandroid
akaze_cropped;Nexus S;Pixel 3a XL;167;50;136;30;5;670;passandroid
akaze_cropped;Nexus S;Pixel 2;167;50;106;30;1;650;passandroid
akaze_cropped;Nexus S;Pixel 3;167;50;132;30;4;670;passandroid
eyeautomate;Nexus S;Nexus 4;234;77;59;31;0;239;antennapod
eyeautomate;Nexus S;Pixel 3;234;77;63;31;0;548;antennapod
eyeautomate;Nexus5;Pixel 3XL;170;52;125;31;5;575.3;passandroid
eyeautomate;Nexus5;Nexus S;167;50;123;31;7;636.2;passandroid
akaze_cropped;Nexus S;Nexus5;167;50;138;31;5;630;passandroid
akaze_cropped;Nexus S;Nexus5x;167;50;112;31;1;620;passandroid
akaze_cropped;Nexus S;Pixel;167;50;112;31;1;600;passandroid
akaze_cropped;Nexus S;Nexus 4;167;50;136;31;5;370;passandroid
akaze_cropped;Nexus S;Pixel 3A;167;50;136;31;5;770;passandroid
eyeautomate;Nexus5;Pixel 2;170;52;119;32;9;302.9;passandroid
akaze_cropped;Nexus S;Nexus S;167;50;138;32;6;250;passandroid
akaze_fullscreen;Nexus5;Nexus S;167;50;108;32;3;760;passandroid
surf_cropped;Pixel 3;Nexus S;234;77;132;33;0;751;antennapod
eyeautomate;Nexus5;Nexus5x;170;52;124;33;7;450.2;passandroid
